DISCOS,formato,estrellas (sobre 5),comentarios,,,
100 Gecs - 1000 Gecs,LP,3,,,,
100 Gecs - 10000 Gecs,"CD,LP",2,,,,
Acid Bath - When the Kite String Pops,CD,4,,,,
Adrianne Lenker - Songs,CD,2,,,,
Agoraphobic Nosebleed - Bestial Machinery,CD,3,,,,
Alcest - Souvenirs d'un autre monde,CD,4,cover original https://m.media-amazon.com/images/I/71aAC7+9VEL._SL1200_.jpg,,,
Alcest - Spiritual Instinct,CD,3,,,,
Alcest - Les Chants De L'Aurore,CD,3,,,,
All Shall Perish - The Price Of Existence,CD,4,,,,
alt-J - An Awesome Wave,CD,4,,,,
Animales Muertos - Animales Muertos,CD,4,,,,
Animals As Leaders - Animals As Leaders,CD,4,,,,
Animals As Leaders - The Joy of Motion,CD,3,,,,
Animals As Leaders - The Madness of Many,CD,3,,,,
Animals As Leaders - Parrhesia,CD,3,,,,
Anna von Hausswolff - Dead Magic,CD,3,,,,
Anthrax - Among the Living,CD,2,,,,
Aphex Twin - Selected Ambient Works Volume II,CD,3,,,,
Aphex Twin - ...I Care Because You Do,CD,3,,,,
Aphex Twin - drukqs,CD,4,,,,
Arca - Kick ii,CD,3,,,,
Arca - Kick iii,CD,3,,,,
Archspire - Relentless Mutation,CD,3,preferiblemente con pegatina https://i.discogs.com/KUrUzyzW8WuhVaB5l7R80tqRHAUnrGwxbyuLbJy-jm0/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE3/MzAzMDI5LTE2MTI3/ODYzNTItMjk4Ni5q/cGVn.jpeg,,,
Arctic Monkeys - Favourite Worst Nightmare,CD,4,,,,
Arctic Monkeys - The Car,CD,2,,,,
Arpaviejas - Ladrón de Almas,CD,4,,,,
The Arrogant Sons of Bitches - Three Cheers of Disappointment,LP,4,,,,
"A Silver Mt. Zion ?- He Has Left Us Alone, But Shafts Of Light Sometimes Grace The Corner Of Our Rooms…",CD,4,,,,
At the Gates - Slaughter of the Soul,CD,3,,,,
Atheist - Unquestionable Presence,CD,2,preferiblemente con pegatina https://i.ebayimg.com/images/g/DUsAAOSwWkRgn5nO/s-l300.jpg,,,
Autopsy - Severed Survival,CD,3,cover original,,,
The Avalanches - Since I Left You,CD,3,,,,
Bad Brains - Bad Brains,CD,2,cover original,,,
Bad Manners - Ska 'n' B,CD,3,,,,
Bad Religion - No Control,CD,3,,,,
Bala - Maleza,"CD, LP",4,,,,
Baptists - Bushcraft,CD,4,,,,
