estrellas (sobre 5),DISCOS
1,Bathory - Bathory
,Bejo - Parafernalio
,Butthole Surfers - Locust Abortion Technitian
,Cannibal Corpse - Eaten Back to Life
,Daft Punk - Random Access Memories
,Deicide - Deicide
,Dismember - Indecent & Obscene
,Mortician - Hacked Up For Barbecue / Zombie Apocalypse
,"New Order - Power, Corruption & Lies"
,Queen - News of the World
,Skrillex - Recess
2,100 Gecs - 10000 Gecs
,Adrianne Lenker - Songs
,Anthrax - Among the Living
,Arctic Monkeys - The Car
,Atheist - Unquestionable Presence
,Bad Brains - Bad Brains
,Bell Witch - Mirror Reaper
,Between the Buried and Me - Colors
,Billie Eilish - Happier Than Ever
,"Billie Eilish - When We All Fall Asleep, Where Do We Go?"
,Black Midi - Hellfire
,Black Sabbath - Black Sabbath
,Blood Incantation - Starspawn
,Boards of Canada - Music Has the Right to Children 
,"Bon Iver - 22, a Million"
,Boredoms - Vision Creation Newsun
,Boris - Feedbacker
,Brodequin - Intruments of Torture
,Brujeria - Matando Güeros
,Brujeria - Raza Odiada
,Camarón - La Leyenda del Tiempo
,Cannibal Corpse - Bloodthirst
,Cannibal Corpse - Tomb Of The Mutilated
,Captain Beefheart & His Magic Band - Trout Mask Replica
,Carcass - Swansong
,Cryptopsy - Blasphemy Made Flesh
,Dark Angel - Darkness Descends
,Darkthrone - Transilvanian Hunger
,Death - Scream Bloody Gore
,Deicide - Legion
,Dire Straits - Dire Straits
,Disharmonic Orchestra - Not to be Undimensional Conscious
,Dismember - Like an Everflowing Stream
,Disrupt - Unrest
,Don Caballero - American Don
,Dying Fetus - Make Them Beg for Death
,Edge of Sanity - Purgatory Afterglow
,Entombed - Clandestine
,Entombed - Left Hand Path
,Exhorder - Slaughter In The Vatican
,Exhorder - The Law
,Exodus - Blood In Blood Out
,Fishmans - Long Season
,Fleet Foxes - Fleet Foxes
,Fleetwood Mac - Rumours
,Gojira - L'Enfant Savauge
,Gojira - Terra Incognita
,Gojira - The Way of All Flesh
,Gorguts - Colored Sands
,Gorguts - Obscura
,Gorillaz - Cracker Island
,Gorillaz - Demon Days
,J Dilla - Donuts
,Jesu - Jesu
,Jimi Hendrix - Are You Experienced
,Joanna Newsom - Ys
,Joni Mitchell - Blue
,Jungle Rot - Jungle Rot
,Kreator - Endless Pain
,Kreator - Terrible Certainty
,Led Zeppelin - Led Zeppelin
,Lendakaris Muertos - Podrán Cortar la Droga Pero No la Primavera
,Lendakaris Muertos - Se Habla Español
,Lightning Bolt - Fantasy Empire
,Lightning Bolt - Ride the Skies
,Lightning Bolt - Sonic Citadel
,Machine Girl - .?.?.?Because I'm Young Arrogant And Hate Everything You Stand For
,Machine Girl - WLFGRL
,Mastodon - Remission
,Megadeth - Peace Sells
,Megadeth - Youthanasia
,Metallica - Master of Puppets
,Modest Mouse - Good News for People Who Love Bad News
,Mort Garson - Mother Earth's Plantasia
,Motörhead - Ace of Spades
,Municipal Waste - Hazardous Mutation
,Napalm Death - Harmony Corruption
,Nirvana - MTV Unplugged in New York
,Origin - Antithesis
,Origin - Origin
,Pig Destroyer - Prowler in the Yard 
,Piperrak - Arde Ribera
,Possessed - Seven Churches
,Primal Scream - Screamadelica
,Queens of the Stone Age - In Times New Roman...
,Rammstein - Mutter
,Ramones - Ramones
,Ratos de Porão - Brasil
,Rodriguez - Cold Fact
,Sadus - Chemical Exposure
,Sigh - Hangman's Hymn
,Sunn O))) - Pyroclasts
,Swans - Soundtracks for the Blind
,The Flaming Lips - The Soft Bulletin
,The Prodigy - Music for the Jilted Generation
,Throbbing Gristle - 20 Jazz Funk Greats
,Toxic Holocaust - Chemistry of Consciousness
,Vektor - Outer Isolation
,Wormrot - Abuse
,Wormrot - Hiss
3,100 Gecs - 1000 Gecs
,Agoraphobic Nosebleed - Bestial Machinery
,Alcest - Spiritual Instinct
,Animals As Leaders - Parrhesia
,Animals As Leaders - The Joy of Motion
,Aphex Twin - ...I Care Because You Do
,Aphex Twin - Selected Ambient Works Volume II
,Arca - Kick ii
,Arca - Kick iii
,Archspire - Relentless Mutation
,Autopsy - Severed Survival
,Bad Manners - Ska 'n' B
,Bad Religion - No Control
,Baroness - Yellow & Green
,Batushka - Litourgiya
,Big Thief - Dragon New Warm Mountain I Believe in You
,Biznaga - Bremen no Existe 
,Björk - Fossora
,Blood Incantation - Hidden History of the Human Race
,Boris - Flood
,Brian Eno - Ambient 1/ Music for Airports
,Brian Eno - Apollo: Atmospheres and Soundtracks
,Brutus - Nest
,Cannibal Corpse - Torture
,Car Seat Headrest - Twin Fantasy
,Carcass - Reek of Putrefaction
,Carnivore - Retaliation
,Chat Pile - God's Country
,Circle Jerks - Group Sex
,Cocteau Twins - Heaven or Las Vegas
,CPV - Madrid Zona Bruta
,Cryptopsy - None So Vile
,Cryptopsy - Whisper Supremacy
,Cynic - Traced in Air
,Dead Kennedys - Plastic Surgery Disasters
,Deafheaven - Sunbather
,Death Grips - No Love Deep Web
,Deftones - Around the Fur
,Demilich - Nespithe
,Demolition Hammer - Epidemic of Violence
,Descendents - I Don't Want to Grow Up
,Don Caballero - What Burns Never Returns
,Doom - War Crimes: Inhuman Beings
,Dream Theater - Images And Words
,Duster - Contemporary Movement
,Duster - Stratosphere
,Dying Fetus - Destroy the Opposition
,Dying Fetus - Killing On Adrenaline
,Earth - The Bees Made Honey in the Lion's Skull
,Einstürzende Neubauten - Halber Mensch
,Electric Guest - Mondo
,Eskorbuto - Eskizofrenia
,Exodus - Tempo of the Damned
,"Explosions in the Sky - Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever"
,Fleshwater - We're Not Here to Be Love
,Frank T - 90 Kilos
,Frank Zappa - Hot Rats
,Frutería Toñi - El Porvenir Está en las Huevas
,Gang of Four - Entertainment!
,Gatillazo - Dianas Legales
,Gavin Bryars - The Sinking of the Titanic
,Godspeed You! Black Emperor - Yanqui U.X.O.
,Gorillaz - Plastic Beach
,Have a Nice Life - Deathconsciousness
,Heilung - Ofnir
,Hervie Hancock - Head Hunters
,Idles - Tangk
,Igorrr - Savage Sinusoid
,Immolation - Close to a World Below
,In Flames - The Jester Race
,Iron Maiden - Iron Maiden
,John Coltrane - Giant Steps
,Julee Cruise - Floating Into the Night
,Kanye West - My Beautiful Dark Twisted Fantasy
,Kase.O Jazz Magnetism - Kase.O Jazz Magnetism
,Kate Bush - Hounds of Love
,Kraftwerk - Autobahn
,Kreator - Pleasure to Kill
,La M.O.D.A. - La Primavera del Invierno
,La M.O.D.A. - Salvavida (De las Balas Perdidas)
,La Plata - Desorden
,Lamb of God - Ashes of the Wake
,Leftöver Crack - Fuck World Trade
,Lendakaris Muertos - Cicatriz en la Matrix
,Lendakaris Muertos - Lendakaris Muertos
,"Lendakaris Muertos - Vine, Vi y me Vendí"
,Lou Reed - Transformer
,Love of Lesbian - 1999
,Macintosh Plus - Floral Shoppe
,Mammal Hands - Shadow Work
,Manolo Kabezabolo - 2001: La Odisea Va Despacio
,Manolo Kabezabolo - La Nueva Mayoría
,Marvin Gaye - What's Going On
,Masayoshi Takanaka - Brasilian Skies
,Mastodon - Leviathan
,Melvins - (A) Senile Animal
,Meshuggah - Chaosphere
,Meshuggah - obZen
,Mg?a - Exercises in Futility
,Mg?a - With Hearts Toward None
,Mingus - The Black Saint and the Sinner Lady
,Misfits - Earth A.D. / Wolfs Blood
,Misfits - Static Age
,Molchat doma - Etazhi
,Moondog - Moondog
,Morbid Angel - Altars of Madness
,Morbid Angel - Covenant
,Nails - Abandon All Life
,Nails - Unsilent Life
,Nails - You Will Never Be One of Us
,Necrophagist - Epitaph
,Ni Por Favor Ni Ostias - El Demonio Ke Llevamos Dentro
,Nick Drake - Pink Moon
,Nile - Annihilation of the Wicked
,Nine Inch Nails - The Downward Spiral
,Non Servium - El Imperio del Mal
,Non Servium - El Rodillo del Kaos
,Non Servium - N.S.A. La Santa Familia
,Obituary - Cause of Death
,Ornette Coleman - Free Jazz
,Pabellón Psiquiátrico - La Primera en la Frente
,Pescado Rabioso - Artaud
,Pestilence - Consuming Impulse
,Pestilence - Testimony of the Ancient
,Petra de Fenetra - Tipico Pero Cierto
,Phlebotomized - Immense Intense Suspense
,Pink Floyd - The Dark Side of the Moon
,Psycroptic - Divine Council
,Radiohead - A Moon Shaped Pool
,Rivers of Nihil - Where Owls Know my Name
,Robe - Destrozares. Canciones Para el Final de los Tiempos
,Robe - Se Nos Lleva el Aire
,Ryo Fukui - Scenary
,S.O.D - Speak English or Die
,Sadness - I Want To Be There
,Santana - Abraxas
,Sigh - Imaginary Sonicscape
,Sin Dios - Ingobernables
,Širom - The Liquified Throne of Simplicity
,Slayer - Show no Mercy
,Slayer - South of Heaven
,Sleep - Dopesmoker
,Slipknot - Slipknot
,Sonic Youth - Daydream Nation
,Sonic Youth - Goo
,Stan Getz & João Gilberto - Getz / Gilberto
,Steven Wilson - The Raven That Refused to Sing (And Other Stories)
,Streetlight Manifesto - Everything Goes Numb
,Suffocation - Pierced from Within
,Sufjan Stevens - Carrie & Lowell
,Suicidal Tendencies - Suicidal Tendencies
,Sunn O))) & Ulver - Terrestrials
,Supuration - The Cube
,Swans - Children of God
,Swans - My Father Will Guide Me Up a Rope to the Sky
,Swans - The Great Annihilator
,Talk Talk - Laughing Stock
,The Avalanches - Since I Left You
,The Dillinger Escape Plan - Calculating Infinity
,The Exploited - Troops of Tomorrow
,The Garden - Haha
,The Garden - Kiss My Super Bowl Ring
,The Smile - Wall of Eyes
,The Smiths - Hatful of Hollow
,The Smiths - The Queen is Dead
,Thom Yorke - The Eraser
,Thundercat - Drunk
,"Tim Hecker - Ravedeath, 1972"
,Tool - Lateralus
,Touché Amoré - Stage Four
,Venetian Snares - Rossz csillag alatt született
,Venom - Welcome To Hell
,Violadores del Verso - Vicios y Virtudes
,Voivod - Killing Technology
,Weather Report - Heavy Weather
,Whitehouse - Bird Seed
,Wormrot - Dirge
4,"A Silver Mt. Zion ?- He Has Left Us Alone, But Shafts Of Light Sometimes Grace The Corner Of Our Rooms…"
,Acid Bath - When the Kite String Pops
,Alcest - Souvenirs d'un autre monde
,alt-J - An Awesome Wave
,Animales Muertos - Animales Muertos
,Aphex Twin - drukqs
,Arctic Monkeys - Favourite Worst Nightmare
,Arpaviejas - Ladrón de Almas
,Baptists - Bushcraft
,"Black Country, New Road - Ants From Up There"
,Black Sabbath - Sabbath Bloody Sabbath
,Boris - Amplifier Worship
,Boris - Pink
,Burzum - Filosofem
,Califato ¾ - Puerta de la Canne
,Carolina Durante - Cuatro Chavales
,Chicharrica - Quiero Romper
,Choking Victim - No Gods / No Managers
,Crystal Castles - Crystal Castles
,Daughters - Daughters
,Daughters - You Won't Get What You Want
,Death - Human
,Death - Leprosy
,Descendents - Milo Goes to College
,Distorsión - ¡Ké Buen Dios!
,Electric Wizard - Funeralopolis
,Eskorbuto - Anti Todo
,Gustavo Cerati - Bocanada
,Hella - Hold Your Horse Is
,Her's - Songs of Her's
,Idles - Brutalism
,Jeff Buckley - Grace
,Jeff Rosenstock - Worry.
,King Crimson - Red
,King Gizzard and the Lizard Wizard - Butterfly 3000
,King Gizzard and the Lizard Wizard - Flying Microtonal Banana
,King Gizzard and the Lizard Wizard - I'm In Your Mind Fuzz
,Kraftwerk - Computer World
,Kraftwerk - Trans Europe Express
,Kyuss - Welcome to Sky Valley
,Lightning Bolt - Wonderful Rainbow
,Lykathea Aflame - Elvenefris
,"Meshuggah - Destroy, Erase, Improve"
,Morbid Angel - Gateways to Annihilation
,Napalm Death - From Slavement to Obliteration
,Ni Por Favor Ni Ostias - Ni Pa Kaldo...
,Nymphomatriarch - Nymphomatriarch
,Operation Ivy - Energy
,Opeth - In Cauda Venenum
,Opeth - Still Life
,Philip Glass - Glassworks
,Primus - Sailing the Seas of Cheese
,Repulsion - Horrified
,Robe - Lo que Aletea en Nuestras Cabezas
,Robe - Mayéutica
,Steve Reich - Music for 18 Musicians
,Stevie Wonder - Songs in the Key of Life
,Sunn O))) - Monoliths and Dimensions
,Swans - Leaving Meaning
,Swans - The Beggar
,Swans - The Glowing Man
,Swans - White Light From the Mouth of Infinity
,Talk Talk - Spirit of Eden
,Terrorizer - World Downfall
,The Arrogant Sons of Bitches - Three Cheers of Disappointment
,The Cure - Disintegration
,The Postal Service - Give Up
,The Smile - A Light for Attracting Attention
,Tool - Fear Inoculum
,Triángulo de Amor Bizarro - Salve Discordia
,Triángulo de Amor Bizarro - Triángulo de Amor Bizarro (2020)
,tricot - T H E
,Violadores del Verso - Vivir Para Contarlo
,Voivod - Dimension Hatröss
,Voivod - Nothingface
,Will Wood & The Tapeworms - Self-Ish
,William Basinski - The Disintegration Loops
,"??? (Midori) - ???????????????????? (Aratamemashite, Hajimemashite, Midori Desu)"
5,Black Midi - Schlagenheim
,"Discharge - Hear Nothing, See Nothing, Say Nothing"
,Explosions in the Sky - The Earth is not a Dead Cold Place
,Gentle Giant - Octopus
,Gojira - From Mars To Sirius
,Meshuggah - Nothing (version original)
,Naked City - Torture Garden
,R.I.P. - No Te Muevas!
,Sin Dios - Alerta Antifascista
,The Caretaker - Everywhere at the End of Time 1-5
,The Flaming Lips - Yoshimi Battles the Pink Robots
,The Garden - Horseshit on Route 66
,The Prodigy - The Fat of the Land
(en blanco),Batushka - Panihida
,Extremoduro - Material Defectuoso
,Extremoduro - Para Todos los Públicos
,"Extremoduro - Yo, Minoría Absoluta"
Total general,
