stars,artist,disc
1,Bathory,Bathory
1,Bejo,Parafernalio
1,Butthole Surfers,Locust Abortion Technitian
1,Cannibal Corpse,Eaten Back to Life
1,Daft Punk,Random Access Memories
1,Deicide,Deicide
1,Dismember,Indecent & Obscene
1,Mortician,Hacked Up For Barbecue / Zombie Apocalypse
1,New Order,"Power, Corruption & Lies"
1,Queen,News of the World
1,Skrillex,Recess
2,100 Gecs,10000 Gecs
2,Adrianne Lenker,Songs
2,Anthrax,Among the Living
2,Arctic Monkeys,The Car
2,Atheist,Unquestionable Presence
2,Bad Brains,Bad Brains
2,Bell Witch,Mirror Reaper
2,Between the Buried and Me,Colors
2,Billie Eilish,Happier Than Ever
2,Billie Eilish,"When We All Fall Asleep, Where Do We Go?"
2,Black Midi,Hellfire
2,Black Sabbath,Black Sabbath
2,Blood Incantation,Starspawn
2,Boards of Canada,Music Has the Right to Children
2,Bon Iver,"22, a Million"
2,Boredoms,Vision Creation Newsun
2,Boris,Feedbacker
2,Brodequin,Intruments of Torture
2,Brujeria,Matando Güeros
2,Brujeria,Raza Odiada
2,Camarón,La Leyenda del Tiempo
2,Cannibal Corpse,Bloodthirst
2,Cannibal Corpse,Tomb Of The Mutilated
2,Captain Beefheart & His Magic Band,Trout Mask Replica
2,Carcass,Swansong
2,Cryptopsy,Blasphemy Made Flesh
2,Dark Angel,Darkness Descends
2,Darkthrone,Transilvanian Hunger
2,Death,Scream Bloody Gore
2,Deicide,Legion
2,Dire Straits,Dire Straits
2,Disharmonic Orchestra,Not to be Undimensional Conscious
2,Dismember,Like an Everflowing Stream
2,Disrupt,Unrest
2,Don Caballero,American Don
2,Dying Fetus,Make Them Beg for Death
2,Edge of Sanity,Purgatory Afterglow
2,Entombed,Clandestine
2,Entombed,Left Hand Path
2,Exhorder,Slaughter In The Vatican
2,Exhorder,The Law
2,Exodus,Blood In Blood Out
2,Fishmans,Long Season
2,Fleet Foxes,Fleet Foxes
2,Fleetwood Mac,Rumours
2,Gojira,L'Enfant Savauge
2,Gojira,Terra Incognita
2,Gojira,The Way of All Flesh
2,Gorguts,Colored Sands
2,Gorguts,Obscura
2,Gorillaz,Cracker Island
2,Gorillaz,Demon Days
2,J Dilla,Donuts
2,Jesu,Jesu
2,Jimi Hendrix,Are You Experienced
2,Joanna Newsom,Ys
2,Joni Mitchell,Blue
2,Jungle Rot,Jungle Rot
2,Kreator,Endless Pain
2,Kreator,Terrible Certainty
2,Led Zeppelin,Led Zeppelin
2,Lendakaris Muertos,Podrán Cortar la Droga Pero No la Primavera
2,Lendakaris Muertos,Se Habla Español
2,Lightning Bolt,Fantasy Empire
2,Lightning Bolt,Ride the Skies
2,Lightning Bolt,Sonic Citadel
2,Machine Girl,.?.?.?Because I'm Young Arrogant And Hate Everything You Stand For
2,Machine Girl,WLFGRL
2,Mastodon,Remission
2,Megadeth,Peace Sells
2,Metallica,Master of Puppets
2,Modest Mouse,Good News for People Who Love Bad News
2,Mort Garson,Mother Earth's Plantasia
2,Motörhead,Ace of Spades
2,Municipal Waste,Hazardous Mutation
2,Napalm Death,Harmony Corruption
2,Nirvana,MTV Unplugged in New York
2,Origin,Antithesis
2,Origin,Origin
2,Pig Destroyer,Prowler in the Yard
2,Piperrak,Arde Ribera
2,Possessed,Seven Churches
2,Primal Scream,Screamadelica
2,Queens of the Stone Age,In Times New Roman...
2,Rammstein,Mutter
2,Ramones,Ramones
2,Ratos de Porão,Brasil
2,Rodriguez,Cold Fact
2,Sadus,Chemical Exposure
2,Sigh,Hangman's Hymn
2,Sunn O))),Pyroclasts
